feature,iou,neuron,weight
marital-status:Never-married,0.3161856963613154,0,-0.14065255224704742
marital-status:Married-civ-spouse,0.3400402414486579,1,0.16639366745948792
sex:Female,0.23855421686744113,2,-0.18031775951385498
marital-status:Divorced,0.23626373626369299,3,-0.15777672827243805
relationship:Husband,0.41025641025636245,4,0.15086629986763
marital-status:Married-civ-spouse,0.3293413173652366,5,0.19059722125530243
relationship:Unmarried,0.20158102766794436,6,-0.15295614302158356
education:Bachelors,0.2662116040955177,7,0.20862960815429688
education-num,0.34137055837559116,8,0.16281428933143616
fnlwgt,0.22285714285712163,9,-0.07624994963407516
marital-status:Married-civ-spouse,0.2530573847600891,10,0.08528422564268112
sex:Female,0.25826193390449714,11,-0.2322472631931305
sex:Female,0.2598039215685956,12,-0.09980624914169312
relationship:Own-child,0.3714859437750258,13,-0.18615493178367615
marital-status:Never-married,0.18799546998865369,14,-0.1772148609161377
education-num,0.3278894472361397,15,0.2031112015247345
relationship:Husband,0.34295227524968447,16,0.1497463881969452
marital-status:Never-married,0.32115869017628196,17,-0.14129649102687836
marital-status:Never-married,0.29187192118223004,18,-0.20505575835704803
education-num,0.3001230012299754,19,0.1637108027935028
relationship:Husband,0.3180827886709893,20,0.12443080544471741
relationship:Husband,0.3672316384180376,21,0.13646440207958221
relationship:Own-child,0.25551470588230596,22,-0.17662352323532104
relationship:Husband,0.3166485310119351,23,0.23019513487815857
occupation:Prof-specialty,0.46741573033697364,24,0.17660893499851227
marital-status:Married-civ-spouse,0.3097345132743058,25,0.15482433140277863
marital-status:Never-married,0.2443653618030552,26,-0.21916306018829346
education:Some-college,0.2557077625570387,27,-0.09322425723075867
marital-status:Married-civ-spouse,0.3227408142998686,28,0.11030717939138412
marital-status:Never-married,0.31949685534587174,29,-0.16878797113895416
marital-status:Never-married,0.3570504527813251,30,-0.16484445333480835
marital-status:Married-civ-spouse,0.35503560528989264,31,0.16248776018619537
relationship:Husband,0.32821075740940414,32,0.20264464616775513
relationship:Husband,0.30528586839263155,33,0.19958235323429108
marital-status:Married-civ-spouse,0.268571428571403,34,0.19427341222763062
relationship:Husband,0.30669546436281786,35,0.12284743040800095
marital-status:Never-married,0.28239608801952537,36,-0.08894948661327362
marital-status:Never-married,0.2370283018867645,37,-0.16384565830230713
relationship:Not-in-family,0.2593085106382634,38,-0.1365741342306137
marital-status:Married-civ-spouse,0.4006309148264563,39,0.13205794990062714
relationship:Unmarried,0.2719665271965958,40,-0.1044577807188034
education-num,0.3163138231630988,41,0.16745494306087494
sex:Female,0.22966507177030746,42,-0.13766340911388397
occupation:Exec-managerial,0.31632653061218036,43,0.04656188189983368
marital-status:Never-married,0.4099462365590847,44,-0.1274554580450058
education-num,0.3499361430395466,45,0.16166706383228302
education-num,0.22337962962960375,46,0.243178591132164
marital-status:Married-civ-spouse,0.33600802407218294,47,0.15626078844070435
relationship:Husband,0.3311331133112947,48,0.19661913812160492
marital-status:Married-civ-spouse,0.28944820909968155,49,0.18265461921691895
relationship:Husband,0.3908045977011045,50,0.17299272119998932
relationship:Own-child,0.30095238095232363,51,-0.20480498671531677
marital-status:Never-married,0.38756613756608627,52,-0.13203418254852295
marital-status:Married-civ-spouse,0.3149062191510054,53,0.17489023506641388
occupation:Prof-specialty,0.3463917525772482,54,0.09709379822015762
occupation:Other-service,0.25714285714280466,55,-0.2161298245191574
marital-status:Divorced,0.220614828209725,56,-0.23175464570522308
relationship:Husband,0.32530120481924146,57,0.14450189471244812
marital-status:Married-civ-spouse,0.3346693386773212,58,0.13916447758674622
workclass:?,0.22769953051637848,59,-0.02983885444700718
marital-status:Never-married,0.3161856963613154,60,-0.21476256847381592
marital-status:Never-married,0.4175675675675111,61,-0.13200584053993225
workclass:?,0.2248243559718443,62,-0.15689055621623993
education-num,0.3871391076114977,63,0.2421029508113861
