feature,iou,neuron,weight
(((marital-status:Never-married OR marital-status:Separated) AND (NOT education-num)) AND (NOT occupation:Sales)),0.4784946236558282,0,-0.14065255224704742
(((education-num OR workclass:Self-emp-not-inc) AND marital-status:Married-civ-spouse) OR native-country:?),0.4807692307691467,1,0.16639366745948792
(((sex:Female OR relationship:Not-in-family) AND (NOT education:Bachelors)) AND (NOT education:HS-grad)),0.36276083467088877,2,-0.18031775951385498
(((marital-status:Divorced OR education:11th) OR education:Some-college) AND (NOT relationship:Husband)),0.37755102040810823,3,-0.15777672827243805
(((relationship:Husband AND (NOT education:HS-grad)) OR occupation:Transport-moving) AND marital-status:Married-civ-spouse),0.48698315467067577,4,0.15086629986763
(((marital-status:Married-civ-spouse AND (NOT education:HS-grad)) AND (NOT education:Some-college)) OR capital-loss),0.45063694267508747,5,0.19059722125530243
(((relationship:Unmarried OR workclass:?) OR occupation:Farming-fishing) OR workclass:State-gov),0.3627450980391564,6,-0.15295614302158356
(((education:Bachelors OR relationship:Wife) OR education:Prof-school) AND (NOT marital-status:Never-married)),0.4461839530331808,7,0.20862960815429688
(((education-num AND relationship:Husband) OR workclass:Self-emp-inc) AND (NOT education:Assoc-voc)),0.4824016563145999,8,0.16281428933143616
(((fnlwgt AND (NOT marital-status:Married-civ-spouse)) OR education:11th) AND (NOT education:Some-college)),0.31746031746026704,9,-0.07624994963407516
(((occupation:Sales OR workclass:Local-gov) AND (NOT marital-status:Never-married)) OR education:Masters),0.42801556420225134,10,0.08528422564268112
(((occupation:Other-service OR occupation:Handlers-cleaners) OR education:11th) OR native-country:?),0.3747810858142951,11,-0.2322472631931305
(((marital-status:Divorced OR workclass:?) OR marital-status:Separated) OR native-country:?),0.39546191247967655,12,-0.09980624914169312
(((marital-status:Never-married AND (NOT relationship:Not-in-family)) OR marital-status:Widowed) OR native-country:?),0.5182481751823872,13,-0.18615493178367615
(((workclass:? OR occupation:Other-service) OR occupation:Farming-fishing) OR occupation:Protective-serv),0.34304207119735547,14,-0.1772148609161377
(((education:Bachelors OR workclass:Self-emp-inc) OR native-country:?) OR education:Prof-school),0.4367622259695722,15,0.2031112015247345
(((relationship:Husband AND education-num) OR workclass:Self-emp-inc) OR capital-gain),0.49295774647878643,16,0.1497463881969452
(((marital-status:Never-married OR relationship:Unmarried) AND (NOT education:HS-grad)) OR occupation:Handlers-cleaners),0.3838664812238687,17,-0.14129649102687836
(((marital-status:Never-married AND (NOT occupation:Sales)) OR marital-status:Separated) OR workclass:?),0.38205128205123307,18,-0.20505575835704803
(((education-num OR workclass:?) AND (NOT education:Bachelors)) AND (NOT education:Assoc-acdm)),0.6439560439559024,19,0.1637108027935028
(((relationship:Husband AND age) OR workclass:Self-emp-inc) OR education:9th),0.39829302987192056,20,0.12443080544471741
(((relationship:Husband AND (NOT workclass:Self-emp-not-inc)) OR education:Masters) AND (NOT occupation:Adm-clerical)),0.427664974619235,21,0.13646440207958221
(((relationship:Own-child OR workclass:Local-gov) OR native-country:?) OR education:11th),0.3921259842519067,22,-0.17662352323532104
(((education:Masters OR occupation:Transport-moving) OR native-country:?) OR occupation:Protective-serv),0.4806866952788668,23,0.23019513487815857
(((occupation:Prof-specialty OR education:Masters) OR education:Assoc-acdm) OR workclass:Local-gov),0.6195856873821808,24,0.17660893499851227
(((capital-gain OR relationship:Wife) OR education:Assoc-voc) OR education:Masters),0.49183303085290525,25,0.15482433140277863
(((marital-status:Never-married OR marital-status:Widowed) AND (NOT education:Some-college)) AND (NOT education:Bachelors)),0.3993055555554862,26,-0.21916306018829346
(((education:Some-college OR education:11th) OR workclass:?) AND (NOT occupation:Exec-managerial)),0.3731563421828358,27,-0.09322425723075867
(((marital-status:Married-civ-spouse AND education-num) OR workclass:Self-emp-inc) OR occupation:Tech-support),0.4584775086504397,28,0.11030717939138412
(((marital-status:Never-married AND (NOT education-num)) OR marital-status:Separated) OR native-country:Mexico),0.435185185185118,29,-0.16878797113895416
(((marital-status:Never-married AND (NOT education:Bachelors)) OR marital-status:Married-spouse-absent) OR education:7th-8th),0.4491899852723933,30,-0.16484445333480835
(((marital-status:Married-civ-spouse AND education-num) OR workclass:Self-emp-inc) OR marital-status:Married-spouse-absent),0.4714285714284872,31,0.16248776018619537
(((occupation:Exec-managerial OR workclass:Self-emp-not-inc) OR capital-loss) AND (NOT marital-status:Never-married)),0.46718146718137693,32,0.20264464616775513
(((marital-status:Married-civ-spouse AND (NOT workclass:Private)) OR capital-gain) OR education:Assoc-acdm),0.4332810047095081,33,0.19958235323429108
(((occupation:Exec-managerial OR occupation:Craft-repair) OR occupation:Prof-specialty) AND (NOT education:Bachelors)),0.3829160530190894,34,0.19427341222763062
(((relationship:Husband AND (NOT occupation:Craft-repair)) AND (NOT occupation:Transport-moving)) AND (NOT occupation:Adm-clerical)),0.38239538239532717,35,0.12284743040800095
(((marital-status:Never-married OR workclass:Self-emp-not-inc) AND (NOT education-num)) AND (NOT occupation:Sales)),0.39320388349508195,36,-0.08894948661327362
(((relationship:Own-child OR relationship:Not-in-family) OR relationship:Unmarried) AND (NOT occupation:Exec-managerial)),0.3383084577114091,37,-0.16384565830230713
(((relationship:Not-in-family OR education:11th) OR relationship:Other-relative) AND (NOT education:Bachelors)),0.36046511627901734,38,-0.1365741342306137
(((marital-status:Married-civ-spouse AND (NOT education:Bachelors)) AND (NOT education:Some-college)) AND (NOT occupation:Machine-op-inspct)),0.48489666136717247,39,0.13205794990062714
(((relationship:Unmarried OR workclass:?) OR workclass:Self-emp-not-inc) AND (NOT marital-status:Married-civ-spouse)),0.4319999999999136,40,-0.1044577807188034
(((education-num AND (NOT education:Bachelors)) OR capital-loss) OR workclass:Federal-gov),0.45008756567417685,41,0.16745494306087494
(((workclass:Local-gov OR occupation:Other-service) OR education:Assoc-voc) OR education:Assoc-acdm),0.4474123539231306,42,-0.13766340911388397
(((occupation:Exec-managerial OR workclass:Self-emp-not-inc) OR occupation:Protective-serv) OR workclass:Self-emp-inc),0.5141843971630293,43,0.04656188189983368
(((marital-status:Never-married AND (NOT education:Bachelors)) OR occupation:Protective-serv) AND (NOT occupation:Prof-specialty)),0.5231023102309368,44,-0.1274554580450058
(((occupation:Prof-specialty OR occupation:Exec-managerial) OR native-country:?) OR native-country:Mexico),0.4421052631578282,45,0.16166706383228302
(((capital-gain OR workclass:?) OR occupation:Tech-support) OR marital-status:Separated),0.3996447602130729,46,0.243178591132164
(((capital-gain OR education:Masters) OR relationship:Wife) OR education:Prof-school),0.49323017408114245,47,0.15626078844070435
(((education-num OR occupation:Transport-moving) AND (NOT marital-status:Never-married)) AND (NOT education:Masters)),0.4444444444443684,48,0.19661913812160492
(((occupation:Exec-managerial OR occupation:Transport-moving) OR relationship:Wife) OR occupation:Farming-fishing),0.43015873015866185,49,0.18265461921691895
(((marital-status:Married-civ-spouse AND (NOT education:HS-grad)) AND (NOT occupation:Transport-moving)) AND (NOT occupation:Machine-op-inspct)),0.4661538461537744,50,0.17299272119998932
(((relationship:Own-child OR marital-status:Separated) OR native-country:?) AND (NOT workclass:?)),0.43373493975894906,51,-0.20480498671531677
(((marital-status:Never-married OR education:7th-8th) AND (NOT occupation:Handlers-cleaners)) AND (NOT occupation:Prof-specialty)),0.4566210045661405,52,-0.13203418254852295
(((capital-gain OR relationship:Wife) OR education:Some-college) AND marital-status:Married-civ-spouse),0.47937131630638913,53,0.17489023506641388
(((occupation:Prof-specialty OR occupation:Protective-serv) OR education:Assoc-acdm) OR education:5th-6th),0.4673076923076024,54,0.09709379822015762
(((occupation:Other-service OR occupation:Sales) AND (NOT marital-status:Married-civ-spouse)) OR occupation:Tech-support),0.41328413284125215,55,-0.2161298245191574
(((workclass:? OR occupation:Other-service) OR occupation:Transport-moving) OR occupation:Adm-clerical),0.40210249671479603,56,-0.23175464570522308
(((relationship:Husband AND (NOT education:HS-grad)) OR capital-gain) AND (NOT workclass:Local-gov)),0.3826458036983808,57,0.14450189471244812
(((marital-status:Married-civ-spouse AND (NOT education:Some-college)) AND (NOT education:Bachelors)) OR relationship:Wife),0.40272108843531934,58,0.13916447758674622
(((workclass:? OR workclass:Self-emp-inc) OR occupation:Farming-fishing) OR workclass:State-gov),0.4108527131782149,59,-0.02983885444700718
(((relationship:Own-child OR occupation:Other-service) OR occupation:Farming-fishing) AND (NOT occupation:Sales)),0.41487603305778264,60,-0.21476256847381592
(((marital-status:Never-married AND (NOT education-num)) OR workclass:?) AND (NOT marital-status:Married-civ-spouse)),0.5203389830507592,61,-0.13200584053993225
(((workclass:? OR relationship:Unmarried) OR education:11th) OR education:9th),0.4388489208632304,62,-0.15689055621623993
(((education-num AND (NOT education:Assoc-voc)) OR workclass:Federal-gov) AND (NOT relationship:Own-child)),0.4631901840490087,63,0.2421029508113861
