neuron,primitive,iou,weight
0,marital-status:Divorced,0.23853211009169933,-0.0049882386811077595
1,marital-status:Married-civ-spouse,0.3306693306692976,0.21765339374542236
2,relationship:Own-child,0.2911153119092077,-0.08930757641792297
3,sex:Female,0.20515826494722095,-0.11978779733181
4,marital-status:Never-married,0.3552971576226931,-0.19615833461284637
5,relationship:Husband,0.4053426248547729,0.12209059298038483
6,education-num,0.30655129789860236,0.0522625669836998
7,marital-status:Never-married,0.3228247162672985,-0.19312791526317596
8,education-num,0.28902439024386717,0.21826353669166565
9,relationship:Own-child,0.2984790874524147,-0.14889200031757355
10,marital-status:Never-married,0.334605597964334,-0.1434612274169922
11,relationship:Husband,0.3828571428570991,0.16465610265731812
12,marital-status:Divorced,0.29807692307686573,-0.11282118409872055
13,education-num,0.3345959595959173,0.027017025277018547
14,relationship:Own-child,0.3632734530937399,-0.20672190189361572
15,relationship:Husband,0.2683438155135987,0.11260021477937698
16,marital-status:Divorced,0.27358490566032573,-0.1932283639907837
17,relationship:Unmarried,0.21357285429137454,-0.21250726282596588
18,sex:Female,0.2801992528019576,-0.1476495862007141
19,sex:Female,0.20799059929492267,-0.06931068003177643
20,marital-status:Married-civ-spouse,0.24369747899157387,0.15775318443775177
21,education-num,0.3482142857142413,0.2285842001438141
22,marital-status:Divorced,0.24309392265188892,-0.1779078245162964
23,relationship:Own-child,0.39672801635983707,-0.2158127725124359
24,occupation:Exec-managerial,0.42384105960255547,0.06438713520765305
25,relationship:Husband,0.3641488162344572,0.14095857739448547
26,marital-status:Married-civ-spouse,0.33199999999996677,0.1725473403930664
27,education-num,0.3114143920595147,0.13323935866355896
28,marital-status:Never-married,0.31949685534587174,-0.23160262405872345
29,marital-status:Never-married,0.30472636815916604,-0.1641210913658142
30,marital-status:Married-civ-spouse,0.3605720122573687,0.1859022080898285
31,marital-status:Married-civ-spouse,0.3591836734693511,0.13250447809696198
32,relationship:Husband,0.29273504273501144,0.20843960344791412
33,marital-status:Married-civ-spouse,0.3633572159672095,0.1530311405658722
34,relationship:Own-child,0.2578268876610943,-0.10359474271535873
35,marital-status:Never-married,0.23848878394330122,-0.17044857144355774
36,marital-status:Never-married,0.2099192618223518,-0.1998574286699295
37,relationship:Husband,0.32240437158466423,0.15236444771289825
38,occupation:Other-service,0.22222222222217813,-0.07543759793043137
39,relationship:Husband,0.3580246913579845,0.144889235496521
40,relationship:Own-child,0.2440801457194455,-0.13646560907363892
41,marital-status:Never-married,0.25328554360809397,-0.25876978039741516
42,sex:Female,0.21226415094337117,-0.1444215178489685
43,marital-status:Never-married,0.26081730769227635,-0.22290053963661194
44,marital-status:Never-married,0.21552723059093679,-0.1455630511045456
45,marital-status:Never-married,0.2370283018867645,-0.13101188838481903
46,relationship:Own-child,0.2814258911819359,-0.10598361492156982
47,occupation:Other-service,0.26488706365497644,-0.2050807923078537
48,marital-status:Married-civ-spouse,0.3123152709359298,0.20373183488845825
49,marital-status:Never-married,0.26233453670273615,-0.1455501914024353
50,education-num,0.43031123139371713,0.1731874793767929
51,education-num,0.3871391076114977,0.1660042107105255
52,education-num,0.25385527876628067,0.2181507796049118
53,marital-status:Never-married,0.30148883374686086,-0.1768694818019867
54,marital-status:Married-civ-spouse,0.299512195121922,0.1366855800151825
55,relationship:Own-child,0.39672801635983707,-0.21611741185188293
56,marital-status:Never-married,0.26844014510274866,-0.10460914671421051
57,occupation:Other-service,0.22954091816362684,-0.21707075834274292
58,marital-status:Married-civ-spouse,0.36475409836061834,0.0773467943072319
59,occupation:Exec-managerial,0.24517374517369783,0.2335463911294937
60,marital-status:Married-civ-spouse,0.33734939759032756,0.17240352928638458
61,relationship:Own-child,0.2532110091742654,-0.1826837658882141
62,relationship:Own-child,0.3797979797979031,-0.06194860115647316
63,relationship:Husband,0.28450106157109506,0.20041801035404205
