neuron,feature,iou,weight
0,race:Asian-Pac-Islander,0.13008130081290237,-0.0049882386811077595
1,education:Prof-school,0.2674418604648053,0.21765339374542236
2,race:Asian-Pac-Islander,0.18803418803402733,-0.08930757641792297
3,marital-status:Widowed,0.12307692307682841,-0.11978779733181
4,education:11th,0.13380281690131424,-0.19615833461284637
5,race:Asian-Pac-Islander,0.13934426229496774,0.12209059298038483
6,education:Doctorate,0.24691358024660875,0.0522625669836998
7,education:9th,0.10204081632642649,-0.19312791526317596
8,education:Prof-school,0.3292682926825253,0.21826353669166565
9,education:10th,0.19827586206879458,-0.14889200031757355
10,workclass:Self-emp-not-inc,0.10849056603768469,-0.1434612274169922
11,workclass:Self-emp-inc,0.18045112781941322,0.16465610265731812
12,education:7th-8th,0.20212765957425305,-0.11282118409872055
13,workclass:?,0.19411764705870935,0.027017025277018547
14,education:11th,0.1103448275861308,-0.20672190189361572
15,native-country:Canada,0.099999999999875,0.11260021477937698
16,education:7th-8th,0.14141414141399858,-0.1932283639907837
17,race:Asian-Pac-Islander,0.1119999999999104,-0.21250726282596588
18,marital-status:Widowed,0.1679999999998656,-0.1476495862007141
19,education:5th-6th,0.15476190476172053,-0.06931068003177643
20,education:Doctorate,0.1609195402297001,0.15775318443775177
21,capital-loss,0.1464968152865309,0.2285842001438141
22,education:7th-8th,0.16494845360807736,-0.1779078245162964
23,education:10th,0.15833333333320138,-0.2158127725124359
24,occupation:Exec-managerial,0.17753623188399364,0.06438713520765305
25,education:Prof-school,0.3292682926825253,0.14095857739448547
26,capital-gain,0.1330275229357188,0.1725473403930664
27,education:Doctorate,0.1882352941174256,0.13323935866355896
28,occupation:Other-service,0.1428571428570877,-0.23160262405872345
29,education:10th,0.13008130081290237,-0.1641210913658142
30,native-country:?,0.16666666666650326,0.1859022080898285
31,education:Prof-school,0.23863636363609245,0.13250447809696198
32,workclass:Federal-gov,0.13043478260858224,0.20843960344791412
33,education:Doctorate,0.20238095238071144,0.1530311405658722
34,education:7th-8th,0.14141414141399858,-0.10359474271535873
35,native-country:?,0.2526315789471025,-0.17044857144355774
36,education:10th,0.13008130081290237,-0.1998574286699295
37,race:Asian-Pac-Islander,0.17796610169476443,0.15236444771289825
38,education:7th-8th,0.15306122448963974,-0.07543759793043137
39,capital-gain,0.18181818181809484,0.144889235496521
40,marital-status:Married-spouse-absent,0.1382978723402784,-0.13646560907363892
41,education:7th-8th,0.12999999999987,-0.25876978039741516
42,relationship:Other-relative,0.12037037037025891,-0.1444215178489685
43,occupation:Handlers-cleaners,0.11428571428563267,-0.22290053963661194
44,education:9th,0.16129032258047174,-0.1455630511045456
45,education:7th-8th,0.21505376344062896,-0.13101188838481903
46,workclass:?,0.19411764705870935,-0.10598361492156982
47,native-country:Mexico,0.12871287128700126,-0.2050807923078537
48,workclass:Self-emp-inc,0.2764227642274175,0.20373183488845825
49,education:9th,0.17391304347807182,-0.1455501914024353
50,education:Doctorate,0.1882352941174256,0.1731874793767929
51,education:Doctorate,0.2624999999996719,0.1660042107105255
52,race:Asian-Pac-Islander,0.15833333333320138,0.2181507796049118
53,education:11th,0.17518248175169696,-0.1768694818019867
54,capital-gain,0.14883720930225636,0.1366855800151825
55,occupation:Other-service,0.1428571428570877,-0.21611741185188293
56,education:9th,0.14893617021260752,-0.10460914671421051
57,native-country:Mexico,0.15151515151499848,-0.21707075834274292
58,education:Masters,0.22151898734163197,0.0773467943072319
59,race:Asian-Pac-Islander,0.21929824561384273,0.2335463911294937
60,native-country:?,0.2268041237111064,0.17240352928638458
61,education:7th-8th,0.11881188118800118,-0.1826837658882141
62,relationship:Own-child,0.12732919254654432,-0.06194860115647316
63,education:Assoc-acdm,0.1574803149605059,0.20041801035404205
